ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),Biên EBIT (%),EBIT (Bn. VND),Interest Coverage,Financial Leverage,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PTT,2024,2,1.5925130311,209463284400,16493172,17.5710328781,0.8079590454,9.7244354878,431.7248935498884,7974.8170044549,5.9077568111,0.13963930872332725,0.08566935309011095,0.097905062880784,8137498891,-7.2193913819352,1.5827205845544305,0.5803808427865527,1.2441924736854741
PTT,2024,1,1.078394651,141841279200,16493172,10.559230279,0.5471218732,5.8438541639,205.46594196677268,7974.8170044549,2.9635040184,0.10017608914222659,0.04571563826167639,0.052732640644323946,3908937834,-1.8864249439228344,1.6170646779877738,0.6233065662468354,1.2105633274787895
