time,open,high,low,close,volume,ticker
2021-11-22,10.4,10.4,10.4,10.4,0,DMN
2021-11-23,10.4,10.4,10.4,10.4,0,DMN
2021-11-24,10.4,10.4,10.4,10.4,0,DMN
2021-11-25,10.4,10.4,10.4,10.4,0,DMN
2021-11-26,10.4,10.4,10.4,10.4,0,DMN
2021-11-29,10.4,10.4,10.4,10.4,0,DMN
2021-11-30,10.4,10.4,10.4,10.4,0,DMN
2021-12-01,10.4,10.4,10.4,10.4,0,DMN
2021-12-02,10.4,10.4,10.4,10.4,0,DMN
2021-12-03,10.4,10.4,10.4,10.4,0,DMN
2021-12-06,10.4,10.4,10.4,10.4,0,DMN
2021-12-07,10.4,10.4,10.4,10.4,0,DMN
2021-12-08,14.4,14.5,14.4,14.5,300,DMN
2021-12-09,16.6,16.6,16.6,16.6,9400,DMN
2021-12-10,19.0,19.0,19.0,19.0,8300,DMN
2021-12-13,21.8,21.8,21.8,21.8,1300,DMN
2021-12-14,25.0,25.0,25.0,25.0,7500,DMN
2021-12-15,28.7,28.7,25.0,25.0,4600,DMN
2021-12-16,28.0,28.0,28.0,28.0,0,DMN
2021-12-17,28.0,28.0,28.0,28.0,0,DMN
2021-12-20,28.0,28.0,28.0,28.0,1,DMN
2021-12-21,28.0,28.0,28.0,28.0,0,DMN
2021-12-22,23.8,23.8,23.8,23.8,805,DMN
2021-12-23,23.8,23.8,23.8,23.8,0,DMN
2021-12-24,23.8,23.8,23.8,23.8,0,DMN
2021-12-27,23.8,23.8,23.8,23.8,0,DMN
2021-12-28,23.8,23.8,23.8,23.8,0,DMN
2021-12-29,20.3,20.3,20.3,20.3,100,DMN
2021-12-30,20.3,20.3,20.3,20.3,0,DMN
2021-12-31,17.3,17.3,17.3,17.3,200,DMN
2022-01-04,14.8,17.3,14.8,14.8,10100,DMN
2022-01-05,14.8,14.8,12.6,12.8,2400,DMN
2022-01-06,12.7,14.7,12.7,14.7,1500,DMN
2022-01-07,12.0,12.1,12.0,12.1,3100,DMN
2022-01-10,12.1,12.1,12.0,12.1,400,DMN
2022-01-11,12.0,12.1,10.5,12.1,1600,DMN
2022-01-12,11.1,11.2,11.0,11.0,1100,DMN
2022-01-13,10.6,11.1,10.0,11.1,1600,DMN
2022-01-14,10.0,10.0,10.0,10.0,100,DMN
