time,open,high,low,close,volume,ticker
2008-01-23,41.06,41.06,23.46,29.27,316400,SDD
2008-01-24,29.44,31.32,28.86,30.21,286900,SDD
2008-01-25,30.15,30.73,29.33,29.33,119100,SDD
2008-01-28,29.33,29.91,27.98,27.98,29600,SDD
2008-01-29,27.57,29.44,26.39,28.15,113800,SDD
2008-01-30,29.27,30.97,29.27,30.79,214500,SDD
2008-01-31,32.55,32.55,28.15,29.33,71300,SDD
2008-02-01,30.5,30.5,29.56,30.21,99900,SDD
2008-02-12,31.09,31.09,28.15,28.74,13500,SDD
2008-02-13,28.15,28.74,27.51,27.51,40600,SDD
2008-02-14,28.15,29.27,27.86,28.15,32700,SDD
2008-02-15,28.56,28.8,27.1,27.86,28000,SDD
2008-02-18,27.86,27.86,25.46,25.92,98900,SDD
2008-02-19,26.1,27.21,24.69,25.22,76000,SDD
2008-02-20,28.27,28.27,23.46,23.87,69700,SDD
2008-02-21,22.35,22.35,21.99,21.99,34100,SDD
2008-02-22,21.7,22.29,19.88,21.17,115600,SDD
2008-02-25,20.53,22.35,20.53,22.35,66400,SDD
2008-02-26,24.46,24.46,20.12,20.12,55600,SDD
2008-02-27,19.41,22.29,19.41,20.47,43900,SDD
2008-02-28,22.46,22.46,19.82,20.18,41000,SDD
2008-02-29,20.53,20.53,18.53,18.94,55700,SDD
2008-03-03,19.06,19.65,17.24,17.24,72600,SDD
2008-03-04,16.42,16.42,16.31,16.31,17300,SDD
2008-03-05,14.72,15.31,14.72,14.72,78200,SDD
2008-03-06,16.25,16.25,16.25,16.25,9900,SDD
2008-03-07,17.83,17.83,17.83,17.83,6000,SDD
2008-03-10,19.59,19.59,16.72,18.01,138300,SDD
2008-03-11,17.13,17.6,16.95,16.95,79300,SDD
2008-03-12,16.95,18.53,16.42,17.6,59500,SDD
2008-03-13,18.65,18.77,16.77,17.71,31200,SDD
2008-03-14,17.01,17.54,16.83,17.01,42200,SDD
2008-03-17,16.42,16.83,15.43,15.54,82800,SDD
2008-03-18,14.08,14.08,14.02,14.02,65300,SDD
2008-03-19,14.31,15.25,12.9,13.78,41300,SDD
2008-03-20,14.37,14.55,13.31,13.55,42100,SDD
2008-03-21,12.96,13.2,12.49,12.55,66100,SDD
2008-03-24,11.73,11.73,11.44,11.44,25400,SDD
2008-03-25,10.85,10.85,10.32,10.32,19500,SDD
2008-03-26,10.32,11.14,9.44,10.56,116700,SDD
2008-03-27,10.62,10.62,10.62,10.62,7200,SDD
2008-03-28,10.79,10.79,10.79,10.79,9000,SDD
2008-03-31,10.97,10.97,10.97,10.97,1000,SDD
2008-04-01,11.14,11.14,11.14,11.14,3700,SDD
2008-04-02,11.32,11.32,11.32,11.32,100,SDD
2008-04-03,11.5,11.5,11.5,11.5,400,SDD
2008-04-04,11.67,11.67,11.67,11.67,2900,SDD
2008-04-07,11.97,11.97,11.97,11.97,1100,SDD
2008-04-08,12.32,12.32,11.61,12.2,123000,SDD
2008-04-09,12.2,12.26,11.55,11.55,16800,SDD
2008-04-10,11.38,11.38,11.38,11.38,3000,SDD
2008-04-11,11.09,11.09,11.09,11.09,800,SDD
2008-04-16,10.79,10.79,10.79,10.79,4400,SDD
2008-04-17,10.5,11.09,10.5,10.85,93500,SDD
2008-04-18,10.73,11.03,10.44,10.5,25200,SDD
2008-04-21,10.38,10.38,10.26,10.26,5700,SDD
2008-04-22,9.97,9.97,9.97,9.97,4700,SDD
2008-04-23,9.68,9.68,9.68,9.68,1300,SDD
2008-04-24,9.44,9.79,9.44,9.44,72400,SDD
2008-04-25,9.38,9.5,9.27,9.44,34700,SDD
2008-04-28,9.27,9.56,9.21,9.56,39000,SDD
2008-04-29,9.56,9.68,9.38,9.38,27700,SDD
2008-05-05,9.33,9.33,9.33,9.33,12300,SDD
2008-05-06,9.09,9.09,9.09,9.09,200,SDD
2008-05-07,8.86,8.86,8.86,8.86,700,SDD
2008-05-08,8.62,8.62,8.62,8.62,1700,SDD
2008-05-09,8.39,8.39,8.39,8.39,500,SDD
2008-05-12,8.15,8.15,8.15,8.15,100,SDD
