time,open,high,low,close,volume,ticker
2009-10-12,20.79,25.46,18.67,25.46,418800,GGG
2009-10-13,24.36,24.36,21.64,22.83,266500,GGG
2009-10-14,22.07,22.07,21.56,21.56,71800,GGG
2009-10-15,21.56,22.07,20.12,20.45,762200,GGG
2009-10-16,20.37,20.37,19.01,19.1,443400,GGG
2009-10-19,19.52,19.52,18.25,18.84,325000,GGG
2009-10-20,19.52,20.2,18.84,20.2,375400,GGG
2009-10-21,20.37,20.54,19.69,20.54,238000,GGG
2009-10-22,21.64,21.81,20.88,21.47,442500,GGG
2009-10-23,21.47,21.47,19.95,19.95,165100,GGG
2009-10-26,20.12,21.22,18.76,19.35,372500,GGG
2009-10-27,17.91,18.67,17.91,18.42,184400,GGG
2009-10-28,17.14,19.52,17.06,19.18,160300,GGG
2009-10-29,17.82,18.67,17.82,17.82,98200,GGG
2009-10-30,18.25,18.67,17.57,18.25,111400,GGG
2009-11-02,17.82,17.82,16.89,16.89,38300,GGG
2009-11-03,16.89,16.97,15.79,15.79,34500,GGG
2009-11-04,15.28,15.79,14.94,14.94,97600,GGG
2009-11-05,15.28,15.62,14.09,15.28,176800,GGG
2009-11-06,15.79,15.96,14.85,14.94,108600,GGG
2009-11-09,14.34,14.68,14.26,14.26,77800,GGG
2009-11-10,14.26,14.26,13.41,13.5,91800,GGG
2009-11-11,14.34,14.34,12.9,13.66,46600,GGG
2009-11-12,14.0,14.51,13.83,14.43,90600,GGG
2009-11-13,14.43,14.43,13.5,14.09,97700,GGG
2009-11-16,14.43,14.77,14.43,14.77,22200,GGG
2009-11-17,15.7,15.7,14.85,15.7,300100,GGG
2009-11-18,16.13,16.13,15.28,15.7,138700,GGG
2009-11-19,15.87,15.87,15.11,15.45,90700,GGG
2009-11-20,15.7,15.7,14.43,14.85,69200,GGG
2009-11-23,14.94,15.28,14.0,14.09,65700,GGG
2009-11-24,14.34,14.43,13.41,14.0,57800,GGG
2009-11-25,14.47,14.94,13.07,13.16,82300,GGG
2009-11-26,13.07,13.07,12.6,12.6,52300,GGG
2009-11-27,11.76,13.44,11.76,12.14,117600,GGG
2009-11-30,12.6,13.35,12.6,13.35,56900,GGG
2009-12-01,13.54,14.0,13.35,14.0,78700,GGG
2009-12-02,14.84,14.84,12.98,13.44,44000,GGG
2009-12-03,12.6,13.54,12.6,13.07,56500,GGG
2009-12-04,12.98,13.26,12.98,13.16,25200,GGG
2009-12-07,12.6,13.26,12.6,12.98,20400,GGG
2009-12-08,12.88,12.88,12.32,12.42,23700,GGG
2009-12-09,12.23,12.23,11.86,11.86,66300,GGG
2009-12-10,11.95,12.32,11.2,11.2,34800,GGG
2009-12-11,11.3,11.58,11.11,11.11,46900,GGG
2009-12-14,11.2,11.95,10.74,11.76,20900,GGG
2009-12-15,11.58,11.58,11.39,11.58,8400,GGG
2009-12-16,11.11,11.11,10.83,10.83,48600,GGG
2009-12-17,10.18,10.92,10.08,10.46,19000,GGG
