time,open,high,low,close,volume,ticker
2017-07-05,14.0,15.1,13.7,15.1,1913900,HTT
2017-07-06,16.15,16.15,16.15,16.15,1510210,HTT
2017-07-07,16.5,17.25,16.15,17.25,2064860,HTT
2017-07-10,16.05,16.05,16.05,16.05,308770,HTT
2017-07-11,14.95,14.95,14.95,14.95,36290,HTT
2017-07-12,13.95,13.95,13.95,13.95,803110,HTT
2017-07-13,13.0,13.0,13.0,13.0,1088250,HTT
2017-07-14,12.1,12.7,12.1,12.55,3256590,HTT
2017-07-17,12.4,13.3,11.7,11.85,2746720,HTT
2017-07-18,11.7,12.0,11.05,11.8,1488330,HTT
2017-07-19,11.1,11.5,11.0,11.05,2023790,HTT
2017-07-20,10.5,11.0,10.3,10.4,2252420,HTT
2017-07-21,10.35,10.45,9.68,10.35,986210,HTT
2017-07-24,10.4,10.9,10.2,10.8,1277440,HTT
2017-07-25,10.85,10.9,10.35,10.5,750310,HTT
2017-07-26,10.25,10.5,10.0,10.5,760090,HTT
2017-07-27,10.5,11.2,10.35,11.2,1962760,HTT
2017-07-28,11.25,11.6,10.45,10.55,1493320,HTT
2017-07-31,10.55,10.6,9.82,10.0,1123740,HTT
2017-08-01,10.05,10.3,9.3,9.5,1552060,HTT
2017-08-02,9.2,9.55,8.84,8.84,998240,HTT
2017-08-03,8.6,8.85,8.23,8.4,1952410,HTT
2017-08-04,8.3,8.45,7.82,7.9,2015670,HTT
2017-08-07,7.9,8.45,7.86,8.45,1697270,HTT
2017-08-08,8.6,8.75,8.1,8.16,897350,HTT
2017-08-09,8.0,8.16,7.8,8.0,774110,HTT
2017-08-10,8.0,8.2,7.85,8.02,611090,HTT
2017-08-11,8.05,8.25,7.85,8.2,468480,HTT
2017-08-14,8.25,8.55,8.07,8.15,994260,HTT
2017-08-15,8.2,8.25,7.92,8.0,226660,HTT
2017-08-16,8.05,8.12,7.86,8.0,253410,HTT
2017-08-17,8.0,8.1,7.83,7.86,219420,HTT
2017-08-18,7.9,8.0,7.72,7.82,778910,HTT
2017-08-21,7.85,7.85,7.72,7.82,464440,HTT
2017-08-22,7.84,7.92,7.75,7.85,296420,HTT
2017-08-23,7.88,8.0,7.76,7.82,489470,HTT
2017-08-24,7.85,7.85,7.72,7.85,545120,HTT
2017-08-25,7.82,7.9,7.72,7.82,214260,HTT
2017-08-28,7.3,7.82,7.3,7.82,411720,HTT
2017-08-29,7.82,7.98,7.73,7.86,390130,HTT
2017-08-30,7.85,8.2,7.8,8.0,1100760,HTT
2017-08-31,8.05,8.56,7.98,8.56,2838340,HTT
2017-09-01,8.7,9.15,8.52,9.1,3026980,HTT
2017-09-05,8.47,9.0,8.47,8.5,1801510,HTT
2017-09-06,8.2,8.5,7.91,7.95,1775820,HTT
2017-09-07,7.95,8.08,7.41,7.82,1063960,HTT
2017-09-08,7.85,7.92,7.28,7.28,1130870,HTT
2017-09-11,6.8,7.0,6.8,6.92,423440,HTT
2017-09-12,7.0,7.05,6.81,6.92,291830,HTT
2017-09-13,6.92,6.95,6.78,6.88,913920,HTT
2017-09-14,7.0,7.0,6.88,6.98,256410,HTT
2017-09-15,7.0,7.25,6.94,7.2,621740,HTT
2017-09-18,7.22,7.62,7.16,7.4,1500400,HTT
2017-09-19,7.4,7.5,7.08,7.15,774450,HTT
2017-09-20,7.1,7.16,7.07,7.1,437110,HTT
2017-09-21,7.07,7.31,7.04,7.04,422980,HTT
2017-09-22,7.02,7.2,7.02,7.04,266850,HTT
2017-09-25,7.0,7.2,7.0,7.16,307490,HTT
2017-09-26,7.23,7.25,7.07,7.07,359490,HTT
2017-09-27,7.06,7.18,7.06,7.06,280630,HTT
2017-09-28,7.07,7.1,7.03,7.03,203060,HTT
2017-09-29,7.0,7.1,6.9,7.01,139910,HTT
2017-10-02,7.0,7.1,6.93,7.01,128740,HTT
2017-10-03,6.85,7.1,6.78,6.95,168460,HTT
2017-10-04,7.0,7.0,6.8,6.95,132660,HTT
2017-10-05,7.22,7.22,6.95,6.95,135120,HTT
2017-10-06,7.17,7.17,6.91,6.95,104590,HTT
2017-10-09,7.15,7.15,6.8,6.95,121520,HTT
2017-10-10,6.9,7.1,6.9,6.95,160010,HTT
2017-10-11,6.95,7.0,6.91,6.95,140820,HTT
2017-10-12,6.95,7.0,6.92,6.95,119850,HTT
2017-10-13,6.99,7.12,6.92,6.97,188680,HTT
2017-10-16,6.85,7.1,6.85,6.91,537220,HTT
2017-10-17,6.97,7.0,6.8,6.94,244200,HTT
2017-10-18,6.96,7.09,6.91,6.97,584130,HTT
2017-10-19,6.9,7.0,6.9,6.95,233020,HTT
2017-10-20,7.08,7.08,6.8,6.95,139240,HTT
2017-10-23,6.99,7.1,6.85,6.96,212350,HTT
2017-10-24,6.86,7.23,6.86,7.2,1487700,HTT
2017-10-25,7.24,7.44,7.2,7.4,406420,HTT
2017-10-26,7.36,7.47,7.25,7.35,913930,HTT
2017-10-27,7.35,7.45,7.18,7.44,1301890,HTT
2017-10-30,7.44,7.55,7.31,7.5,395570,HTT
2017-10-31,7.5,7.53,7.3,7.5,281690,HTT
2017-11-01,7.4,7.41,7.3,7.39,228290,HTT
2017-11-02,7.42,7.65,7.42,7.64,728760,HTT
2017-11-03,7.64,7.7,7.53,7.7,332140,HTT
2017-11-06,7.7,7.76,7.61,7.7,581750,HTT
2017-11-07,7.72,8.23,7.65,8.23,3886020,HTT
2017-11-08,8.28,8.78,7.66,7.66,2989510,HTT
