time,open,high,low,close,volume,ticker
2017-05-15,25.69,25.69,25.69,25.69,38000,CEE
2017-05-16,27.47,27.47,26.94,27.47,2807600,CEE
2017-05-17,28.76,29.39,28.14,29.39,1270100,CEE
2017-05-18,30.35,30.35,29.39,29.48,1985160,CEE
2017-05-19,28.81,31.5,28.33,31.5,2535030,CEE
2017-05-22,32.17,32.65,31.55,31.98,1358090,CEE
2017-05-23,31.98,31.98,29.77,29.77,1856070,CEE
2017-05-24,28.24,30.44,28.24,30.06,1252810,CEE
2017-05-25,29.77,30.54,28.62,28.62,588680,CEE
2017-05-26,28.62,29.24,27.85,27.85,507540,CEE
2017-05-29,27.85,27.85,26.99,27.32,528150,CEE
2017-05-30,26.89,27.85,25.45,25.45,2271640,CEE
2017-05-31,25.93,25.93,23.67,24.39,3636170,CEE
2017-06-01,24.87,25.74,24.39,24.39,696500,CEE
2017-06-02,24.49,24.68,24.39,24.49,507560,CEE
2017-06-05,24.49,24.49,23.53,23.72,848740,CEE
2017-06-06,23.72,24.87,23.72,24.35,579380,CEE
2017-06-07,24.87,24.87,24.25,24.44,402840,CEE
2017-06-08,24.59,24.68,24.35,24.49,629520,CEE
2017-06-09,24.49,24.87,24.39,24.73,338610,CEE
2017-06-12,24.87,24.87,24.39,24.39,260450,CEE
2017-06-13,24.49,24.49,24.2,24.49,202330,CEE
2017-06-14,24.49,24.68,24.35,24.39,219630,CEE
2017-06-15,24.39,24.59,24.2,24.3,140700,CEE
2017-06-16,24.39,24.39,24.15,24.15,240860,CEE
2017-06-19,24.15,25.4,24.15,25.11,630570,CEE
2017-06-20,25.26,25.55,24.97,25.16,745150,CEE
2017-06-21,25.16,25.35,24.78,25.16,300910,CEE
2017-06-22,25.02,25.55,24.97,25.35,621860,CEE
2017-06-23,25.07,25.35,24.87,24.87,449980,CEE
2017-06-26,24.97,25.74,24.97,25.55,517870,CEE
2017-06-27,25.59,26.31,25.55,26.07,809850,CEE
2017-06-28,25.93,26.12,25.83,26.07,177220,CEE
2017-06-29,25.79,26.03,25.64,25.64,181880,CEE
2017-06-30,25.31,25.93,25.31,25.55,119010,CEE
2017-07-03,25.35,25.64,25.16,25.26,59780,CEE
2017-07-04,24.97,25.26,24.92,24.92,265950,CEE
2017-07-05,24.97,25.02,24.83,24.83,110760,CEE
2017-07-06,24.83,25.35,24.68,24.97,82840,CEE
2017-07-07,25.35,25.35,24.78,24.87,113750,CEE
2017-07-10,24.97,24.97,24.49,24.87,265600,CEE
2017-07-11,24.78,24.97,24.39,24.63,429540,CEE
2017-07-12,24.59,24.92,24.59,24.63,139440,CEE
2017-07-13,24.54,24.83,24.54,24.59,216050,CEE
2017-07-14,24.59,24.68,24.39,24.59,102350,CEE
2017-07-17,24.39,24.54,23.82,24.11,357190,CEE
2017-07-18,24.01,24.39,23.72,24.11,280020,CEE
2017-07-19,23.67,24.2,23.24,23.43,180140,CEE
2017-07-20,23.53,24.11,23.53,24.01,241160,CEE
2017-07-21,24.01,24.01,23.43,23.72,123460,CEE
2017-07-24,23.53,23.53,22.76,22.76,63060,CEE
2017-07-25,22.28,23.24,22.28,23.05,126890,CEE
2017-07-26,23.05,24.01,23.05,23.82,96850,CEE
2017-07-27,23.53,23.91,23.53,23.53,130450,CEE
2017-07-28,23.53,23.82,23.05,23.72,97830,CEE
2017-07-31,23.72,23.82,23.39,23.39,88430,CEE
2017-08-01,23.43,23.53,23.24,23.39,109400,CEE
2017-08-02,22.57,23.43,22.57,23.24,102190,CEE
2017-08-03,23.15,23.34,22.91,23.34,119660,CEE
2017-08-04,22.95,23.34,22.95,23.34,143830,CEE
2017-08-07,23.05,23.43,23.05,23.34,127800,CEE
2017-08-08,23.34,23.82,23.34,23.82,324710,CEE
2017-08-09,23.82,24.01,23.63,23.72,169590,CEE
2017-08-10,23.63,23.91,23.29,23.72,68730,CEE
2017-08-11,23.34,23.82,23.34,23.82,129940,CEE
2017-08-14,23.82,24.44,23.82,24.2,146280,CEE
2017-08-15,24.3,25.07,24.25,24.78,310140,CEE
2017-08-16,25.35,25.35,24.49,24.78,104950,CEE
2017-08-17,24.73,24.78,24.01,24.01,60580,CEE
2017-08-18,23.63,24.78,23.63,24.01,106610,CEE
2017-08-21,24.01,24.2,24.01,24.01,37980,CEE
2017-08-22,23.72,24.01,23.58,24.01,83480,CEE
2017-08-23,23.87,23.91,23.58,23.63,66910,CEE
2017-08-24,23.58,23.82,23.53,23.72,19180,CEE
2017-08-25,23.72,23.72,23.15,23.72,53900,CEE
2017-08-28,23.72,23.72,23.05,23.53,36350,CEE
2017-08-29,23.39,23.53,23.15,23.15,45080,CEE
2017-08-30,23.15,24.73,23.15,24.73,621410,CEE
2017-08-31,25.93,25.93,24.97,25.45,540630,CEE
2017-09-01,25.45,25.55,24.44,25.4,459980,CEE
2017-09-05,24.54,25.31,24.54,24.54,20050,CEE
2017-09-06,23.91,24.3,23.63,24.2,23660,CEE
2017-09-07,24.01,24.01,23.67,23.77,8390,CEE
2017-09-08,23.77,24.35,23.72,23.96,82170,CEE
2017-09-11,23.72,24.01,23.63,23.96,33070,CEE
2017-09-12,24.01,24.06,23.67,24.01,49810,CEE
2017-09-13,24.01,24.01,23.82,24.01,11620,CEE
2017-09-14,24.01,24.35,24.01,24.06,110810,CEE
2017-09-15,24.3,24.3,23.87,24.01,42680,CEE
2017-09-18,24.01,24.49,24.01,24.2,125200,CEE
2017-09-19,24.35,24.35,23.91,24.2,143510,CEE
2017-09-20,24.01,24.2,23.96,24.01,60900,CEE
2017-09-21,24.01,24.01,23.72,24.01,79860,CEE
2017-09-22,24.49,24.49,23.82,24.3,184450,CEE
2017-09-25,24.3,24.44,24.2,24.2,119850,CEE
2017-09-26,23.91,25.83,23.91,24.25,111630,CEE
2017-09-27,25.2,25.2,24.3,24.8,19010,CEE
2017-09-28,24.85,24.85,24.2,24.5,10830,CEE
2017-09-29,25.0,25.0,23.0,24.5,210360,CEE
2017-10-02,24.8,24.8,24.0,24.0,5100,CEE
2017-10-03,23.75,24.7,23.5,24.1,25710,CEE
2017-10-04,24.35,24.35,24.1,24.1,17580,CEE
2017-10-05,24.1,24.4,23.9,24.2,28420,CEE
2017-10-06,24.1,24.2,23.8,24.0,38790,CEE
2017-10-09,24.0,24.2,23.65,24.2,62980,CEE
2017-10-10,24.0,25.0,24.0,24.5,204370,CEE
2017-10-11,24.4,25.0,24.3,24.6,267020,CEE
2017-10-12,24.3,24.85,24.0,24.65,84010,CEE
2017-10-13,24.75,24.75,24.25,24.45,820,CEE
2017-10-16,24.5,24.8,24.3,24.6,31320,CEE
2017-10-17,24.3,24.45,24.1,24.1,12830,CEE
2017-10-18,24.1,24.3,23.8,23.8,32480,CEE
2017-10-19,23.8,23.9,23.6,23.6,7440,CEE
2017-10-20,24.5,24.5,23.55,23.55,9340,CEE
2017-10-23,23.6,23.7,22.5,23.7,44120,CEE
2017-10-24,23.65,23.65,23.65,23.65,100,CEE
2017-10-25,23.2,23.5,23.0,23.1,32510,CEE
2017-10-26,22.5,23.4,22.5,23.3,3510,CEE
2017-10-27,23.2,23.25,22.6,23.25,23120,CEE
2017-10-30,22.6,23.9,22.6,23.3,18030,CEE
2017-10-31,24.0,24.0,22.6,23.35,309610,CEE
2017-11-01,23.3,23.35,22.75,23.0,72140,CEE
2017-11-02,22.6,23.3,22.6,23.0,146020,CEE
2017-11-03,22.45,23.0,22.4,22.9,115700,CEE
2017-11-06,23.0,23.1,22.65,22.8,43610,CEE
2017-11-07,22.45,22.9,22.4,22.8,87150,CEE
2017-11-08,22.6,22.8,22.5,22.8,21500,CEE
2017-11-09,22.7,22.8,22.45,22.7,159680,CEE
2017-11-10,22.65,22.8,22.5,22.6,192910,CEE
2017-11-13,22.5,22.85,22.5,22.6,169350,CEE
2017-11-14,22.5,22.7,22.5,22.6,99600,CEE
2017-11-15,22.6,24.15,22.6,24.15,337370,CEE
2017-11-16,25.5,25.5,24.25,24.9,689360,CEE
2017-11-17,24.6,25.35,24.6,25.0,265270,CEE
2017-11-20,24.95,25.0,24.9,24.9,14050,CEE
2017-11-21,24.15,24.85,24.0,24.5,150910,CEE
2017-11-22,24.5,24.5,23.9,24.5,53710,CEE
2017-11-23,24.5,26.2,24.5,26.2,1033490,CEE
2017-11-24,26.2,26.2,25.25,26.15,290350,CEE
2017-11-27,25.9,26.1,25.35,26.0,128520,CEE
2017-11-28,25.95,26.1,25.5,25.55,168100,CEE
2017-11-29,25.4,26.15,25.4,25.75,145970,CEE
2017-11-30,25.75,25.75,25.25,25.65,195870,CEE
2017-12-01,25.65,25.65,25.0,25.65,78370,CEE
2017-12-04,25.65,26.0,25.5,25.85,33200,CEE
2017-12-05,25.85,25.85,25.4,25.8,51440,CEE
2017-12-06,25.8,25.8,25.8,25.8,0,CEE
2017-12-07,25.6,25.7,25.45,25.45,228640,CEE
2017-12-08,25.5,25.5,25.45,25.45,23530,CEE
2017-12-11,25.0,25.0,23.8,24.85,85740,CEE
2017-12-12,24.9,24.9,23.85,24.85,19400,CEE
2017-12-13,24.85,24.85,24.1,24.8,6590,CEE
2017-12-14,24.5,24.5,24.4,24.5,2110,CEE
2017-12-15,23.6,25.7,23.6,25.1,66280,CEE
2017-12-18,24.5,25.2,24.15,25.2,30020,CEE
2017-12-19,24.05,24.95,24.05,24.95,124400,CEE
2017-12-20,24.2,24.95,24.1,24.15,57370,CEE
2017-12-21,24.2,24.7,24.15,24.4,45480,CEE
2017-12-22,24.1,24.45,24.1,24.45,5510,CEE
2017-12-25,24.5,24.7,24.4,24.7,82020,CEE
2017-12-26,24.1,24.6,24.0,24.6,5400,CEE
2017-12-27,24.5,24.6,24.15,24.5,58530,CEE
2017-12-28,24.6,24.65,24.0,24.65,15200,CEE
2017-12-29,24.1,24.6,23.8,24.6,3120,CEE
2018-01-02,23.95,24.0,23.95,24.0,33010,CEE
2018-01-03,24.0,24.4,23.5,24.0,27540,CEE
2018-01-04,23.15,24.0,23.15,24.0,73280,CEE
2018-01-05,23.15,23.5,23.0,23.0,132380,CEE
2018-01-08,23.9,23.9,23.7,23.9,5220,CEE
2018-01-09,23.8,24.0,23.3,24.0,140350,CEE
2018-01-10,23.3,24.0,23.0,23.9,227680,CEE
2018-01-11,23.5,23.75,23.4,23.75,118620,CEE
2018-01-12,23.75,23.75,23.05,23.3,50060,CEE
2018-01-15,23.85,23.85,23.5,23.5,5460,CEE
2018-01-16,23.85,23.85,23.5,23.5,3070,CEE
2018-01-17,23.7,23.7,23.0,23.45,9380,CEE
2018-01-18,22.1,23.4,22.1,23.3,59330,CEE
2018-01-19,23.4,23.4,22.8,23.2,16530,CEE
2018-01-22,23.0,23.0,22.1,22.95,21410,CEE
2018-01-23,22.95,22.95,22.95,22.95,0,CEE
2018-01-24,22.95,22.95,22.95,22.95,0,CEE
2018-01-25,23.45,23.45,22.15,23.45,87500,CEE
2018-01-26,23.4,23.45,22.1,22.35,248860,CEE
2018-01-29,22.1,22.85,22.1,22.5,45070,CEE
2018-01-30,22.85,22.85,22.3,22.6,2290,CEE
2018-01-31,23.0,23.0,22.0,22.8,176020,CEE
2018-02-01,22.75,22.75,22.5,22.5,12530,CEE
2018-02-02,21.5,22.0,21.5,22.0,13620,CEE
2018-02-05,21.0,22.2,21.0,21.0,17260,CEE
