time,open,high,low,close,volume,ticker
2018-10-12,10.55,12.18,10.45,12.18,2467050,LMH
2018-10-15,12.18,13.0,12.14,12.45,1315750,LMH
2018-10-16,12.5,12.68,11.73,11.73,655990,LMH
2018-10-17,11.23,11.27,10.91,10.91,238130,LMH
2018-10-18,10.18,10.45,10.18,10.18,701130,LMH
2018-10-19,9.5,9.73,9.5,9.73,259660,LMH
2018-10-22,9.09,10.36,9.09,10.36,824550,LMH
2018-10-23,10.27,10.68,10.09,10.36,993560,LMH
2018-10-24,10.36,10.45,9.91,9.95,575080,LMH
2018-10-25,9.73,9.73,9.36,9.5,91920,LMH
2018-10-26,9.5,9.59,9.36,9.36,82070,LMH
2018-10-29,9.27,9.45,9.27,9.27,94320,LMH
2018-10-30,9.32,9.41,9.27,9.36,115890,LMH
2018-10-31,9.36,9.55,9.36,9.36,179800,LMH
2018-11-01,9.36,9.36,9.08,9.27,1163560,LMH
2018-11-02,9.27,9.45,9.08,9.09,229800,LMH
2018-11-05,9.14,9.14,9.08,9.14,321940,LMH
2018-11-06,9.14,9.45,9.09,9.45,793380,LMH
2018-11-07,9.36,9.45,9.23,9.23,207970,LMH
2018-11-08,9.23,9.27,9.06,9.09,165270,LMH
2018-11-09,9.09,9.09,9.02,9.09,90120,LMH
2018-11-12,9.09,9.09,9.06,9.09,33850,LMH
2018-11-13,9.08,9.14,9.08,9.14,39010,LMH
2018-11-14,9.18,9.18,9.09,9.09,32410,LMH
2018-11-15,9.09,9.23,9.09,9.14,155690,LMH
2018-11-16,9.18,9.23,9.18,9.18,47940,LMH
2018-11-19,9.18,9.18,9.09,9.09,39610,LMH
2018-11-20,9.09,9.45,9.09,9.27,301770,LMH
2018-11-21,9.27,9.36,9.23,9.23,84850,LMH
2018-11-22,9.18,9.18,9.09,9.09,32760,LMH
2018-11-23,9.14,9.14,9.07,9.09,75710,LMH
2018-11-26,9.09,9.09,9.07,9.09,45590,LMH
2018-11-27,9.09,9.14,9.09,9.09,9750,LMH
2018-11-28,9.09,9.09,9.08,9.09,8350,LMH
2018-11-29,9.09,9.09,9.08,9.09,11050,LMH
2018-11-30,9.09,9.14,9.09,9.09,25470,LMH
2018-12-03,9.09,9.09,9.09,9.09,17710,LMH
2018-12-04,9.09,9.09,9.08,9.09,6870,LMH
2018-12-05,9.08,9.14,9.08,9.14,5820,LMH
2018-12-06,9.14,9.14,9.09,9.09,23220,LMH
2018-12-07,9.09,9.09,9.09,9.09,11780,LMH
2018-12-10,9.08,9.14,9.08,9.09,15550,LMH
2018-12-11,9.09,9.09,9.07,9.09,13940,LMH
2018-12-12,9.09,9.09,9.09,9.09,2150,LMH
2018-12-13,9.09,9.09,9.08,9.09,668370,LMH
2018-12-14,9.08,9.09,9.07,9.09,6330,LMH
2018-12-17,9.09,9.09,9.06,9.09,55570,LMH
2018-12-18,9.07,9.09,9.06,9.09,684480,LMH
2018-12-19,9.08,9.27,9.05,9.23,225700,LMH
2018-12-20,9.23,9.86,9.23,9.86,1282430,LMH
2018-12-21,9.91,10.55,9.86,10.36,1391230,LMH
2018-12-24,10.32,10.45,10.09,10.18,467700,LMH
2018-12-25,9.59,9.59,9.5,9.5,60350,LMH
2018-12-26,8.84,9.41,8.84,9.14,781560,LMH
2018-12-27,9.08,9.18,9.04,9.18,90250,LMH
2018-12-28,9.18,9.27,9.09,9.09,110500,LMH
2019-01-02,9.09,9.14,9.07,9.09,106500,LMH
2019-01-03,9.09,9.18,9.08,9.09,90670,LMH
2019-01-04,9.09,9.09,9.07,9.09,51310,LMH
2019-01-07,9.09,9.18,9.09,9.18,76060,LMH
2019-01-08,9.18,9.23,9.08,9.09,92780,LMH
2019-01-09,9.09,9.18,9.08,9.18,114450,LMH
2019-01-10,9.14,9.14,9.08,9.09,87630,LMH
2019-01-11,9.09,9.14,9.09,9.14,85630,LMH
2019-01-14,9.14,9.14,9.09,9.09,101230,LMH
2019-01-15,9.09,9.23,9.08,9.18,104620,LMH
2019-01-16,9.18,9.18,9.08,9.09,91230,LMH
2019-01-17,9.09,9.23,9.09,9.14,100000,LMH
2019-01-18,9.14,9.18,9.09,9.09,102170,LMH
2019-01-21,9.09,9.18,9.09,9.18,92260,LMH
2019-01-22,9.18,9.18,9.09,9.09,87150,LMH
2019-01-23,9.14,9.18,9.09,9.09,78450,LMH
2019-01-24,9.09,9.14,9.09,9.14,100150,LMH
2019-01-25,9.14,9.14,9.09,9.09,103540,LMH
2019-01-28,9.09,9.14,9.09,9.09,102380,LMH
2019-01-29,9.09,9.09,9.08,9.09,110770,LMH
2019-01-30,9.08,9.14,9.08,9.14,96780,LMH
2019-01-31,9.14,9.27,9.09,9.27,139410,LMH
2019-02-01,9.27,9.32,9.27,9.32,81670,LMH
2019-02-11,9.32,9.41,9.32,9.36,76310,LMH
2019-02-12,9.36,9.41,9.23,9.32,128480,LMH
2019-02-13,9.32,9.41,9.32,9.36,99360,LMH
2019-02-14,9.32,9.73,9.32,9.68,260890,LMH
2019-02-15,9.64,10.0,9.64,9.82,299650,LMH
2019-02-18,9.86,9.91,9.77,9.82,190070,LMH
2019-02-19,9.82,9.86,9.68,9.73,152870,LMH
2019-02-20,9.73,9.73,9.59,9.68,107840,LMH
2019-02-21,9.68,10.23,9.64,10.09,532100,LMH
2019-02-22,10.09,10.5,10.0,10.36,376670,LMH
