time,open,high,low,close,volume,ticker
2017-01-25,28.11,28.11,23.67,24.74,18700,NAS
2017-02-02,27.25,27.25,25.03,25.17,11000,NAS
2017-02-03,25.75,25.75,23.67,24.81,20845,NAS
2017-02-06,25.75,25.75,22.23,22.23,13200,NAS
2017-02-07,23.95,23.95,20.8,20.8,7500,NAS
2017-02-08,20.8,20.87,20.8,20.87,3410,NAS
2017-02-09,22.16,22.16,22.16,22.16,191,NAS
2017-02-10,20.94,22.95,20.94,21.87,3910,NAS
2017-02-13,23.88,23.88,21.23,21.37,13940,NAS
2017-02-14,22.88,22.88,21.37,22.45,6791,NAS
2017-02-15,22.88,22.88,21.87,21.87,5732,NAS
2017-02-16,22.16,22.16,20.87,20.94,10817,NAS
2017-02-17,21.8,21.8,20.94,20.94,10317,NAS
2017-02-20,21.44,21.44,20.8,20.8,8900,NAS
2017-02-21,21.44,21.44,20.8,20.94,11300,NAS
2017-02-22,20.87,20.87,20.87,20.87,2666,NAS
2017-02-23,21.09,21.09,20.08,20.08,6601,NAS
2017-02-24,21.37,21.37,19.36,19.36,1600,NAS
2017-02-27,20.08,20.22,20.08,20.08,6800,NAS
2017-02-28,20.08,20.73,19.72,19.72,16800,NAS
2017-03-01,19.72,19.72,19.72,19.72,20,NAS
2017-03-02,20.66,20.66,19.72,19.79,14900,NAS
2017-03-03,20.15,20.15,19.72,19.72,18100,NAS
2017-03-06,19.79,19.79,19.79,19.79,11500,NAS
2017-03-07,19.72,20.08,19.72,20.08,14800,NAS
2017-03-08,19.87,19.87,19.87,19.87,14500,NAS
2017-03-09,19.79,19.87,19.79,19.87,19600,NAS
2017-03-10,19.87,20.08,19.87,19.87,4000,NAS
2017-03-13,19.79,19.79,19.72,19.72,17264,NAS
2017-03-14,19.87,19.87,19.44,19.87,12600,NAS
2017-03-15,19.65,19.65,19.65,19.65,2500,NAS
2017-03-16,19.65,19.72,19.44,19.65,5100,NAS
2017-03-17,19.79,19.79,19.65,19.65,9847,NAS
2017-03-20,19.94,20.01,19.79,19.79,6100,NAS
2017-03-21,19.72,19.79,19.72,19.72,6810,NAS
2017-03-22,19.51,19.58,19.36,19.58,13617,NAS
2017-03-23,19.79,21.52,19.79,19.87,600,NAS
2017-03-24,20.08,20.08,19.72,19.72,15847,NAS
2017-03-27,19.79,19.79,19.79,19.79,900,NAS
2017-03-28,19.51,19.79,19.51,19.79,4100,NAS
2017-03-29,20.3,20.3,20.3,20.3,2000,NAS
2017-03-30,20.3,20.3,20.3,20.3,95,NAS
2017-03-31,19.79,20.22,19.79,20.22,1400,NAS
2017-04-03,20.08,20.08,20.08,20.08,3400,NAS
2017-04-04,20.08,20.08,19.87,19.94,31220,NAS
2017-04-05,19.94,19.94,19.94,19.94,0,NAS
2017-04-07,19.65,19.72,19.65,19.72,2500,NAS
2017-04-10,19.65,19.65,19.65,19.65,0,NAS
2017-04-11,22.59,22.59,22.59,22.59,100,NAS
2017-04-12,22.59,22.59,22.59,22.59,0,NAS
2017-04-13,19.36,19.58,19.36,19.58,2502,NAS
2017-04-14,22.23,22.23,22.23,22.23,100,NAS
2017-04-17,19.36,19.36,19.01,19.01,2600,NAS
2017-04-18,18.65,18.65,18.65,18.65,300,NAS
2017-04-19,18.72,18.79,18.72,18.79,2032,NAS
2017-04-20,18.72,18.72,18.72,18.72,100,NAS
2017-04-21,18.86,18.86,18.86,18.86,100,NAS
2017-04-24,19.94,19.94,19.44,19.65,3300,NAS
2017-04-25,18.65,18.93,18.65,18.79,3300,NAS
2017-04-26,18.72,18.86,18.72,18.86,2100,NAS
2017-04-27,19.94,20.08,19.94,20.08,24500,NAS
2017-04-28,20.01,20.22,19.94,20.01,27364,NAS
2017-05-03,19.01,19.79,19.01,19.79,7200,NAS
2017-05-04,19.79,20.01,19.58,19.58,2600,NAS
2017-05-05,19.15,20.22,19.15,20.01,800,NAS
2017-05-08,20.01,20.01,20.01,20.01,1000,NAS
2017-05-09,19.72,19.72,19.65,19.65,1100,NAS
2017-05-10,19.01,20.01,19.01,20.01,2200,NAS
2017-05-11,20.01,20.08,19.79,20.08,10032,NAS
2017-05-12,20.66,22.95,20.66,22.59,72501,NAS
2017-05-15,22.95,22.95,22.23,22.23,15556,NAS
2017-05-16,22.59,22.59,19.15,22.59,18720,NAS
2017-05-17,21.52,22.52,21.52,21.52,7900,NAS
2017-05-18,21.52,22.38,21.52,22.38,7074,NAS
2017-05-19,22.38,22.45,22.23,22.45,4410,NAS
2017-05-22,22.23,22.59,22.23,22.59,3509,NAS
2017-05-23,23.87,23.87,22.67,22.67,13778,NAS
2017-05-24,23.31,23.31,22.99,23.07,8992,NAS
2017-05-25,21.8,22.67,21.8,22.28,8992,NAS
2017-05-26,22.36,22.36,22.28,22.28,3000,NAS
2017-05-29,21.8,22.43,21.8,22.43,14900,NAS
2017-05-30,22.28,22.28,21.8,21.96,5630,NAS
2017-05-31,21.96,21.96,21.96,21.96,1700,NAS
2017-06-01,21.96,21.96,21.96,21.96,0,NAS
2017-06-02,21.56,21.96,21.56,21.96,3000,NAS
2017-06-05,21.96,21.96,21.96,21.96,300,NAS
2017-06-06,21.72,21.72,21.72,21.72,400,NAS
2017-06-07,21.72,21.72,21.72,21.72,0,NAS
2017-06-08,21.72,21.72,21.72,21.72,5,NAS
2017-06-09,21.88,21.88,20.76,20.76,1000,NAS
2017-06-12,20.92,22.12,20.92,22.12,10617,NAS
2017-06-13,22.04,22.28,22.04,22.28,6810,NAS
2017-06-14,22.2,22.2,22.2,22.2,100,NAS
2017-06-15,22.2,22.2,22.2,22.2,0,NAS
2017-06-16,21.08,22.28,21.08,22.28,900,NAS
2017-06-19,21.8,21.8,21.8,21.8,100,NAS
2017-06-20,21.88,22.2,21.88,22.2,3023,NAS
2017-06-21,19.49,20.76,19.49,20.76,899,NAS
2017-06-22,21.48,21.56,21.48,21.48,6916,NAS
2017-06-23,21.64,21.64,21.64,21.64,2649,NAS
2017-06-26,21.64,21.64,21.64,21.64,0,NAS
2017-06-27,22.28,22.28,21.16,21.16,200,NAS
2017-06-28,22.28,23.07,19.17,22.67,8200,NAS
2017-06-29,20.29,20.29,20.29,20.29,100,NAS
2017-06-30,17.58,22.12,17.58,22.12,300,NAS
2017-07-03,21.88,21.96,20.6,21.48,11313,NAS
2017-07-04,18.38,22.12,18.38,22.12,2032,NAS
2017-07-05,19.73,22.28,19.73,22.28,2300,NAS
2017-07-06,22.51,22.51,22.36,22.51,4137,NAS
2017-07-07,22.28,22.28,22.28,22.28,2010,NAS
2017-07-10,21.48,22.28,21.48,22.28,703,NAS
2017-07-11,22.12,22.12,22.12,22.12,0,NAS
2017-07-12,22.28,22.28,22.28,22.28,2100,NAS
2017-07-13,22.28,22.28,22.28,22.28,9250,NAS
2017-07-14,23.87,23.87,22.28,22.28,13700,NAS
2017-07-17,22.28,22.51,22.28,22.51,1500,NAS
2017-07-18,22.67,24.66,22.67,23.87,97928,NAS
2017-07-19,24.18,24.18,23.39,23.79,7522,NAS
2017-07-20,23.47,23.55,23.39,23.39,4500,NAS
2017-07-21,23.71,23.87,23.23,23.55,13100,NAS
2017-07-24,23.07,23.71,23.07,23.71,6200,NAS
2017-07-25,23.87,23.87,23.87,23.87,100,NAS
